"x" "y" "forest"
"173" 2675069.765625 5982416.953125 "beech"
"174" 2675080.546875 5982416.953125 "beech"
"175" 2675091.328125 5982416.953125 "beech"
"176" 2675102.109375 5982416.953125 "nonbeech"
"177" 2675112.890625 5982416.953125 "nonbeech"
"178" 2675123.671875 5982416.953125 "beech"
"179" 2675134.453125 5982416.953125 "beech"
"180" 2675145.234375 5982416.953125 "beech"
"181" 2675156.015625 5982416.953125 "beech"
"182" 2675166.796875 5982416.953125 "beech"
"183" 2675177.578125 5982416.953125 "beech"
"184" 2675188.359375 5982416.953125 "beech"
"185" 2675199.140625 5982416.953125 "beech"
"186" 2675209.921875 5982416.953125 "beech"
"187" 2675220.703125 5982416.953125 "beech"
"188" 2675231.484375 5982416.953125 "beech"
"199" 2674660.078125 5982427.734375 "nonbeech"
"200" 2674670.859375 5982427.734375 "nonbeech"
"201" 2674681.640625 5982427.734375 "nonbeech"
"202" 2674692.421875 5982427.734375 "nonbeech"
"203" 2674703.203125 5982427.734375 "nonbeech"
"204" 2674713.984375 5982427.734375 "nonbeech"
"208" 2674757.109375 5982427.734375 "nonbeech"
"209" 2674767.890625 5982427.734375 "nonbeech"
"210" 2674778.671875 5982427.734375 "nonbeech"
"211" 2674789.453125 5982427.734375 "nonbeech"
"212" 2674800.234375 5982427.734375 "nonbeech"
"213" 2674811.015625 5982427.734375 "nonbeech"
"214" 2674821.796875 5982427.734375 "beech"
"215" 2674832.578125 5982427.734375 "beech"
"216" 2674843.359375 5982427.734375 "beech"
"217" 2674854.140625 5982427.734375 "beech"
"218" 2674864.921875 5982427.734375 "beech"
"219" 2674875.703125 5982427.734375 "beech"
"220" 2674886.484375 5982427.734375 "beech"
"221" 2674897.265625 5982427.734375 "beech"
"222" 2674908.046875 5982427.734375 "beech"
"223" 2674918.828125 5982427.734375 "beech"
"224" 2674929.609375 5982427.734375 "beech"
"225" 2674940.390625 5982427.734375 "beech"
"226" 2674951.171875 5982427.734375 "beech"
"227" 2674961.953125 5982427.734375 "nonbeech"
"228" 2674972.734375 5982427.734375 "nonbeech"
"229" 2674983.515625 5982427.734375 "beech"
"230" 2674994.296875 5982427.734375 "beech"
"231" 2675005.078125 5982427.734375 "beech"
"232" 2675015.859375 5982427.734375 "beech"
"233" 2675026.640625 5982427.734375 "beech"
"234" 2675037.421875 5982427.734375 "beech"
"235" 2675048.203125 5982427.734375 "beech"
"236" 2675058.984375 5982427.734375 "beech"
"237" 2675069.765625 5982427.734375 "beech"
"238" 2675080.546875 5982427.734375 "beech"
"239" 2675091.328125 5982427.734375 "nonbeech"
"240" 2675102.109375 5982427.734375 "nonbeech"
"241" 2675112.890625 5982427.734375 "beech"
"242" 2675123.671875 5982427.734375 "beech"
"243" 2675134.453125 5982427.734375 "beech"
"244" 2675145.234375 5982427.734375 "beech"
"245" 2675156.015625 5982427.734375 "beech"
"246" 2675166.796875 5982427.734375 "beech"
"247" 2675177.578125 5982427.734375 "beech"
"248" 2675188.359375 5982427.734375 "beech"
"249" 2675199.140625 5982427.734375 "beech"
"250" 2675209.921875 5982427.734375 "beech"
"251" 2675220.703125 5982427.734375 "beech"
"252" 2675231.484375 5982427.734375 "beech"
"253" 2675242.265625 5982427.734375 "beech"
"262" 2674649.296875 5982438.515625 "nonbeech"
"263" 2674660.078125 5982438.515625 "nonbeech"
"264" 2674670.859375 5982438.515625 "nonbeech"
"265" 2674681.640625 5982438.515625 "nonbeech"
"266" 2674692.421875 5982438.515625 "nonbeech"
"267" 2674703.203125 5982438.515625 "nonbeech"
"271" 2674746.328125 5982438.515625 "nonbeech"
"272" 2674757.109375 5982438.515625 "nonbeech"
"273" 2674767.890625 5982438.515625 "nonbeech"
"274" 2674778.671875 5982438.515625 "nonbeech"
"275" 2674789.453125 5982438.515625 "nonbeech"
"276" 2674800.234375 5982438.515625 "nonbeech"
"277" 2674811.015625 5982438.515625 "nonbeech"
"278" 2674821.796875 5982438.515625 "beech"
"279" 2674832.578125 5982438.515625 "beech"
"280" 2674843.359375 5982438.515625 "beech"
"281" 2674854.140625 5982438.515625 "beech"
"282" 2674864.921875 5982438.515625 "beech"
"283" 2674875.703125 5982438.515625 "beech"
"284" 2674886.484375 5982438.515625 "beech"
"285" 2674897.265625 5982438.515625 "beech"
"286" 2674908.046875 5982438.515625 "beech"
"287" 2674918.828125 5982438.515625 "beech"
"288" 2674929.609375 5982438.515625 "beech"
"289" 2674940.390625 5982438.515625 "beech"
"290" 2674951.171875 5982438.515625 "beech"
"291" 2674961.953125 5982438.515625 "beech"
"292" 2674972.734375 5982438.515625 "nonbeech"
"293" 2674983.515625 5982438.515625 "beech"
"294" 2674994.296875 5982438.515625 "beech"
"295" 2675005.078125 5982438.515625 "beech"
"296" 2675015.859375 5982438.515625 "beech"
"297" 2675026.640625 5982438.515625 "beech"
"298" 2675037.421875 5982438.515625 "beech"
"299" 2675048.203125 5982438.515625 "nonbeech"
"300" 2675058.984375 5982438.515625 "nonbeech"
"301" 2675069.765625 5982438.515625 "nonbeech"
"302" 2675080.546875 5982438.515625 "nonbeech"
"303" 2675091.328125 5982438.515625 "nonbeech"
"304" 2675102.109375 5982438.515625 "beech"
"305" 2675112.890625 5982438.515625 "beech"
"306" 2675123.671875 5982438.515625 "beech"
"307" 2675134.453125 5982438.515625 "beech"
"308" 2675145.234375 5982438.515625 "beech"
"309" 2675156.015625 5982438.515625 "beech"
"310" 2675166.796875 5982438.515625 "beech"
"311" 2675177.578125 5982438.515625 "beech"
"312" 2675188.359375 5982438.515625 "beech"
"313" 2675199.140625 5982438.515625 "beech"
"314" 2675209.921875 5982438.515625 "beech"
"315" 2675220.703125 5982438.515625 "beech"
"316" 2675231.484375 5982438.515625 "beech"
"317" 2675242.265625 5982438.515625 "beech"
"318" 2675253.046875 5982438.515625 "beech"
"325" 2674638.515625 5982449.296875 "nonbeech"
"326" 2674649.296875 5982449.296875 "nonbeech"
"327" 2674660.078125 5982449.296875 "nonbeech"
"328" 2674670.859375 5982449.296875 "nonbeech"
"329" 2674681.640625 5982449.296875 "nonbeech"
"330" 2674692.421875 5982449.296875 "nonbeech"
"331" 2674703.203125 5982449.296875 "nonbeech"
"335" 2674746.328125 5982449.296875 "nonbeech"
"336" 2674757.109375 5982449.296875 "nonbeech"
"337" 2674767.890625 5982449.296875 "nonbeech"
"338" 2674778.671875 5982449.296875 "nonbeech"
"339" 2674789.453125 5982449.296875 "nonbeech"
"340" 2674800.234375 5982449.296875 "nonbeech"
"341" 2674811.015625 5982449.296875 "beech"
"342" 2674821.796875 5982449.296875 "beech"
"343" 2674832.578125 5982449.296875 "beech"
"344" 2674843.359375 5982449.296875 "beech"
"345" 2674854.140625 5982449.296875 "beech"
"346" 2674864.921875 5982449.296875 "beech"
"347" 2674875.703125 5982449.296875 "beech"
"348" 2674886.484375 5982449.296875 "beech"
"349" 2674897.265625 5982449.296875 "beech"
"350" 2674908.046875 5982449.296875 "beech"
"351" 2674918.828125 5982449.296875 "beech"
"352" 2674929.609375 5982449.296875 "beech"
"353" 2674940.390625 5982449.296875 "beech"
"354" 2674951.171875 5982449.296875 "beech"
"355" 2674961.953125 5982449.296875 "nonbeech"
"356" 2674972.734375 5982449.296875 "nonbeech"
"357" 2674983.515625 5982449.296875 "beech"
"358" 2674994.296875 5982449.296875 "beech"
"359" 2675005.078125 5982449.296875 "beech"
"360" 2675015.859375 5982449.296875 "beech"
"361" 2675026.640625 5982449.296875 "nonbeech"
"362" 2675037.421875 5982449.296875 "nonbeech"
"363" 2675048.203125 5982449.296875 "nonbeech"
"364" 2675058.984375 5982449.296875 "nonbeech"
"365" 2675069.765625 5982449.296875 "nonbeech"
"366" 2675080.546875 5982449.296875 "beech"
"367" 2675091.328125 5982449.296875 "beech"
"368" 2675102.109375 5982449.296875 "beech"
"369" 2675112.890625 5982449.296875 "beech"
"370" 2675123.671875 5982449.296875 "beech"
"371" 2675134.453125 5982449.296875 "beech"
"372" 2675145.234375 5982449.296875 "beech"
"373" 2675156.015625 5982449.296875 "beech"
"374" 2675166.796875 5982449.296875 "beech"
"375" 2675177.578125 5982449.296875 "beech"
"376" 2675188.359375 5982449.296875 "beech"
"377" 2675199.140625 5982449.296875 "beech"
"378" 2675209.921875 5982449.296875 "beech"
"379" 2675220.703125 5982449.296875 "beech"
"380" 2675231.484375 5982449.296875 "beech"
"381" 2675242.265625 5982449.296875 "beech"
"382" 2675253.046875 5982449.296875 "beech"
"388" 2674627.734375 5982460.078125 "nonbeech"
"389" 2674638.515625 5982460.078125 "nonbeech"
"390" 2674649.296875 5982460.078125 "nonbeech"
"391" 2674660.078125 5982460.078125 "nonbeech"
"392" 2674670.859375 5982460.078125 "nonbeech"
"393" 2674681.640625 5982460.078125 "nonbeech"
"394" 2674692.421875 5982460.078125 "nonbeech"
"399" 2674746.328125 5982460.078125 "nonbeech"
"400" 2674757.109375 5982460.078125 "nonbeech"
"401" 2674767.890625 5982460.078125 "nonbeech"
"402" 2674778.671875 5982460.078125 "nonbeech"
"403" 2674789.453125 5982460.078125 "nonbeech"
"404" 2674800.234375 5982460.078125 "nonbeech"
"405" 2674811.015625 5982460.078125 "beech"
"406" 2674821.796875 5982460.078125 "beech"
"407" 2674832.578125 5982460.078125 "beech"
"408" 2674843.359375 5982460.078125 "beech"
"409" 2674854.140625 5982460.078125 "beech"
"410" 2674864.921875 5982460.078125 "beech"
"411" 2674875.703125 5982460.078125 "beech"
"412" 2674886.484375 5982460.078125 "beech"
"413" 2674897.265625 5982460.078125 "beech"
"414" 2674908.046875 5982460.078125 "beech"
"415" 2674918.828125 5982460.078125 "beech"
"416" 2674929.609375 5982460.078125 "beech"
"417" 2674940.390625 5982460.078125 "beech"
"418" 2674951.171875 5982460.078125 "beech"
"419" 2674961.953125 5982460.078125 "nonbeech"
"420" 2674972.734375 5982460.078125 "nonbeech"
"421" 2674983.515625 5982460.078125 "beech"
"422" 2674994.296875 5982460.078125 "beech"
"423" 2675005.078125 5982460.078125 "beech"
"424" 2675015.859375 5982460.078125 "nonbeech"
"425" 2675026.640625 5982460.078125 "nonbeech"
"426" 2675037.421875 5982460.078125 "nonbeech"
"427" 2675048.203125 5982460.078125 "nonbeech"
"428" 2675058.984375 5982460.078125 "beech"
"429" 2675069.765625 5982460.078125 "beech"
"430" 2675080.546875 5982460.078125 "beech"
"431" 2675091.328125 5982460.078125 "beech"
"432" 2675102.109375 5982460.078125 "beech"
"433" 2675112.890625 5982460.078125 "beech"
"434" 2675123.671875 5982460.078125 "beech"
"435" 2675134.453125 5982460.078125 "beech"
"436" 2675145.234375 5982460.078125 "beech"
"437" 2675156.015625 5982460.078125 "beech"
"438" 2675166.796875 5982460.078125 "beech"
"439" 2675177.578125 5982460.078125 "beech"
"440" 2675188.359375 5982460.078125 "beech"
"441" 2675199.140625 5982460.078125 "beech"
"442" 2675209.921875 5982460.078125 "beech"
"443" 2675220.703125 5982460.078125 "beech"
"444" 2675231.484375 5982460.078125 "beech"
"445" 2675242.265625 5982460.078125 "beech"
"446" 2675253.046875 5982460.078125 "beech"
"447" 2675263.828125 5982460.078125 "beech"
"451" 2674616.953125 5982470.859375 "nonbeech"
"452" 2674627.734375 5982470.859375 "nonbeech"
"453" 2674638.515625 5982470.859375 "nonbeech"
"454" 2674649.296875 5982470.859375 "nonbeech"
"455" 2674660.078125 5982470.859375 "nonbeech"
"456" 2674670.859375 5982470.859375 "nonbeech"
"457" 2674681.640625 5982470.859375 "nonbeech"
"458" 2674692.421875 5982470.859375 "nonbeech"
"463" 2674746.328125 5982470.859375 "nonbeech"
"464" 2674757.109375 5982470.859375 "nonbeech"
"465" 2674767.890625 5982470.859375 "nonbeech"
"466" 2674778.671875 5982470.859375 "nonbeech"
"467" 2674789.453125 5982470.859375 "nonbeech"
"468" 2674800.234375 5982470.859375 "nonbeech"
"469" 2674811.015625 5982470.859375 "beech"
"470" 2674821.796875 5982470.859375 "beech"
"471" 2674832.578125 5982470.859375 "beech"
"472" 2674843.359375 5982470.859375 "beech"
"473" 2674854.140625 5982470.859375 "beech"
"474" 2674864.921875 5982470.859375 "beech"
"475" 2674875.703125 5982470.859375 "beech"
"476" 2674886.484375 5982470.859375 "beech"
"477" 2674897.265625 5982470.859375 "beech"
"478" 2674908.046875 5982470.859375 "beech"
"479" 2674918.828125 5982470.859375 "beech"
"480" 2674929.609375 5982470.859375 "beech"
"481" 2674940.390625 5982470.859375 "beech"
"482" 2674951.171875 5982470.859375 "beech"
"483" 2674961.953125 5982470.859375 "nonbeech"
"484" 2674972.734375 5982470.859375 "nonbeech"
"485" 2674983.515625 5982470.859375 "beech"
"486" 2674994.296875 5982470.859375 "beech"
"487" 2675005.078125 5982470.859375 "nonbeech"
"488" 2675015.859375 5982470.859375 "nonbeech"
"489" 2675026.640625 5982470.859375 "beech"
"490" 2675037.421875 5982470.859375 "beech"
"491" 2675048.203125 5982470.859375 "beech"
"492" 2675058.984375 5982470.859375 "beech"
"493" 2675069.765625 5982470.859375 "beech"
"494" 2675080.546875 5982470.859375 "beech"
"495" 2675091.328125 5982470.859375 "beech"
"496" 2675102.109375 5982470.859375 "beech"
"497" 2675112.890625 5982470.859375 "beech"
"498" 2675123.671875 5982470.859375 "beech"
"499" 2675134.453125 5982470.859375 "beech"
"500" 2675145.234375 5982470.859375 "beech"
"501" 2675156.015625 5982470.859375 "beech"
"502" 2675166.796875 5982470.859375 "beech"
"503" 2675177.578125 5982470.859375 "beech"
"504" 2675188.359375 5982470.859375 "beech"
"505" 2675199.140625 5982470.859375 "beech"
"506" 2675209.921875 5982470.859375 "beech"
"507" 2675220.703125 5982470.859375 "beech"
"508" 2675231.484375 5982470.859375 "beech"
"509" 2675242.265625 5982470.859375 "beech"
"510" 2675253.046875 5982470.859375 "beech"
"511" 2675263.828125 5982470.859375 "beech"
"514" 2674606.171875 5982481.640625 "nonbeech"
"515" 2674616.953125 5982481.640625 "nonbeech"
"516" 2674627.734375 5982481.640625 "nonbeech"
"517" 2674638.515625 5982481.640625 "nonbeech"
"518" 2674649.296875 5982481.640625 "nonbeech"
"519" 2674660.078125 5982481.640625 "nonbeech"
"520" 2674670.859375 5982481.640625 "nonbeech"
"521" 2674681.640625 5982481.640625 "nonbeech"
"522" 2674692.421875 5982481.640625 "nonbeech"
"527" 2674746.328125 5982481.640625 "nonbeech"
"528" 2674757.109375 5982481.640625 "nonbeech"
"529" 2674767.890625 5982481.640625 "nonbeech"
"530" 2674778.671875 5982481.640625 "nonbeech"
"531" 2674789.453125 5982481.640625 "nonbeech"
"532" 2674800.234375 5982481.640625 "nonbeech"
"533" 2674811.015625 5982481.640625 "beech"
"534" 2674821.796875 5982481.640625 "beech"
"535" 2674832.578125 5982481.640625 "beech"
"536" 2674843.359375 5982481.640625 "beech"
"537" 2674854.140625 5982481.640625 "beech"
"538" 2674864.921875 5982481.640625 "beech"
"539" 2674875.703125 5982481.640625 "beech"
"540" 2674886.484375 5982481.640625 "beech"
"541" 2674897.265625 5982481.640625 "beech"
"542" 2674908.046875 5982481.640625 "beech"
"543" 2674918.828125 5982481.640625 "beech"
"544" 2674929.609375 5982481.640625 "beech"
"545" 2674940.390625 5982481.640625 "beech"
"546" 2674951.171875 5982481.640625 "beech"
"547" 2674961.953125 5982481.640625 "nonbeech"
"548" 2674972.734375 5982481.640625 "nonbeech"
"549" 2674983.515625 5982481.640625 "beech"
"550" 2674994.296875 5982481.640625 "nonbeech"
"551" 2675005.078125 5982481.640625 "beech"
"552" 2675015.859375 5982481.640625 "beech"
"553" 2675026.640625 5982481.640625 "beech"
"554" 2675037.421875 5982481.640625 "beech"
"555" 2675048.203125 5982481.640625 "beech"
"556" 2675058.984375 5982481.640625 "beech"
"557" 2675069.765625 5982481.640625 "beech"
"558" 2675080.546875 5982481.640625 "beech"
"559" 2675091.328125 5982481.640625 "beech"
"560" 2675102.109375 5982481.640625 "beech"
"561" 2675112.890625 5982481.640625 "beech"
"562" 2675123.671875 5982481.640625 "beech"
"563" 2675134.453125 5982481.640625 "beech"
"564" 2675145.234375 5982481.640625 "beech"
"565" 2675156.015625 5982481.640625 "beech"
"566" 2675166.796875 5982481.640625 "beech"
"567" 2675177.578125 5982481.640625 "beech"
"568" 2675188.359375 5982481.640625 "beech"
"569" 2675199.140625 5982481.640625 "beech"
"570" 2675209.921875 5982481.640625 "beech"
"571" 2675220.703125 5982481.640625 "beech"
"572" 2675231.484375 5982481.640625 "beech"
"573" 2675242.265625 5982481.640625 "beech"
"574" 2675253.046875 5982481.640625 "beech"
"575" 2675263.828125 5982481.640625 "beech"
"576" 2675274.609375 5982481.640625 "beech"
"578" 2674606.171875 5982492.421875 "nonbeech"
"579" 2674616.953125 5982492.421875 "nonbeech"
"580" 2674627.734375 5982492.421875 "nonbeech"
"581" 2674638.515625 5982492.421875 "nonbeech"
"582" 2674649.296875 5982492.421875 "nonbeech"
"583" 2674660.078125 5982492.421875 "nonbeech"
"584" 2674670.859375 5982492.421875 "nonbeech"
"585" 2674681.640625 5982492.421875 "nonbeech"
"586" 2674692.421875 5982492.421875 "nonbeech"
"590" 2674735.546875 5982492.421875 "nonbeech"
"591" 2674746.328125 5982492.421875 "nonbeech"
"592" 2674757.109375 5982492.421875 "nonbeech"
"593" 2674767.890625 5982492.421875 "nonbeech"
"594" 2674778.671875 5982492.421875 "nonbeech"
"595" 2674789.453125 5982492.421875 "nonbeech"
"596" 2674800.234375 5982492.421875 "nonbeech"
"597" 2674811.015625 5982492.421875 "nonbeech"
"598" 2674821.796875 5982492.421875 "beech"
"599" 2674832.578125 5982492.421875 "beech"
"600" 2674843.359375 5982492.421875 "beech"
"601" 2674854.140625 5982492.421875 "beech"
"602" 2674864.921875 5982492.421875 "beech"
"603" 2674875.703125 5982492.421875 "beech"
"604" 2674886.484375 5982492.421875 "beech"
"605" 2674897.265625 5982492.421875 "beech"
"606" 2674908.046875 5982492.421875 "beech"
"607" 2674918.828125 5982492.421875 "beech"
"608" 2674929.609375 5982492.421875 "beech"
"609" 2674940.390625 5982492.421875 "beech"
"610" 2674951.171875 5982492.421875 "beech"
"611" 2674961.953125 5982492.421875 "nonbeech"
"612" 2674972.734375 5982492.421875 "nonbeech"
"613" 2674983.515625 5982492.421875 "nonbeech"
"614" 2674994.296875 5982492.421875 "nonbeech"
"615" 2675005.078125 5982492.421875 "beech"
"616" 2675015.859375 5982492.421875 "beech"
"617" 2675026.640625 5982492.421875 "beech"
"618" 2675037.421875 5982492.421875 "beech"
"619" 2675048.203125 5982492.421875 "beech"
"620" 2675058.984375 5982492.421875 "beech"
"621" 2675069.765625 5982492.421875 "beech"
"622" 2675080.546875 5982492.421875 "beech"
"623" 2675091.328125 5982492.421875 "beech"
"624" 2675102.109375 5982492.421875 "beech"
"625" 2675112.890625 5982492.421875 "beech"
"626" 2675123.671875 5982492.421875 "beech"
"627" 2675134.453125 5982492.421875 "beech"
"628" 2675145.234375 5982492.421875 "beech"
"629" 2675156.015625 5982492.421875 "beech"
"630" 2675166.796875 5982492.421875 "beech"
"631" 2675177.578125 5982492.421875 "beech"
"632" 2675188.359375 5982492.421875 "beech"
"633" 2675199.140625 5982492.421875 "beech"
"634" 2675209.921875 5982492.421875 "beech"
"635" 2675220.703125 5982492.421875 "beech"
"636" 2675231.484375 5982492.421875 "beech"
"637" 2675242.265625 5982492.421875 "beech"
"638" 2675253.046875 5982492.421875 "beech"
"639" 2675263.828125 5982492.421875 "beech"
"640" 2675274.609375 5982492.421875 "beech"
"642" 2674606.171875 5982503.203125 "nonbeech"
"643" 2674616.953125 5982503.203125 "nonbeech"
"644" 2674627.734375 5982503.203125 "nonbeech"
"645" 2674638.515625 5982503.203125 "nonbeech"
"646" 2674649.296875 5982503.203125 "nonbeech"
"647" 2674660.078125 5982503.203125 "nonbeech"
"648" 2674670.859375 5982503.203125 "nonbeech"
"649" 2674681.640625 5982503.203125 "nonbeech"
"654" 2674735.546875 5982503.203125 "nonbeech"
"655" 2674746.328125 5982503.203125 "nonbeech"
"656" 2674757.109375 5982503.203125 "nonbeech"
"657" 2674767.890625 5982503.203125 "nonbeech"
"658" 2674778.671875 5982503.203125 "nonbeech"
"659" 2674789.453125 5982503.203125 "nonbeech"
"660" 2674800.234375 5982503.203125 "nonbeech"
"661" 2674811.015625 5982503.203125 "nonbeech"
"662" 2674821.796875 5982503.203125 "beech"
"663" 2674832.578125 5982503.203125 "beech"
"664" 2674843.359375 5982503.203125 "beech"
"665" 2674854.140625 5982503.203125 "beech"
"666" 2674864.921875 5982503.203125 "beech"
"667" 2674875.703125 5982503.203125 "beech"
"668" 2674886.484375 5982503.203125 "beech"
"669" 2674897.265625 5982503.203125 "beech"
"670" 2674908.046875 5982503.203125 "beech"
"671" 2674918.828125 5982503.203125 "beech"
"672" 2674929.609375 5982503.203125 "beech"
"673" 2674940.390625 5982503.203125 "beech"
"674" 2674951.171875 5982503.203125 "beech"
"675" 2674961.953125 5982503.203125 "nonbeech"
"676" 2674972.734375 5982503.203125 "nonbeech"
"677" 2674983.515625 5982503.203125 "nonbeech"
"678" 2674994.296875 5982503.203125 "beech"
"679" 2675005.078125 5982503.203125 "beech"
"680" 2675015.859375 5982503.203125 "beech"
"681" 2675026.640625 5982503.203125 "beech"
"682" 2675037.421875 5982503.203125 "beech"
"683" 2675048.203125 5982503.203125 "beech"
"684" 2675058.984375 5982503.203125 "beech"
"685" 2675069.765625 5982503.203125 "beech"
"686" 2675080.546875 5982503.203125 "beech"
"687" 2675091.328125 5982503.203125 "beech"
"688" 2675102.109375 5982503.203125 "beech"
"689" 2675112.890625 5982503.203125 "beech"
"690" 2675123.671875 5982503.203125 "beech"
"691" 2675134.453125 5982503.203125 "beech"
"692" 2675145.234375 5982503.203125 "beech"
"693" 2675156.015625 5982503.203125 "beech"
